"","BVSP.Open","BVSP.High","BVSP.Low","BVSP.Close","BVSP.Volume","BVSP.Adjusted","date"
"2020-01-02",115652,118573,115649,118573,5162700,118573,2020-01-02
"2020-01-03",118564,118792,117341,117707,6834500,117707,2020-01-03
"2020-01-06",117707,117707,116269,116878,6570000,116878,2020-01-06
"2020-01-07",116872,117076,115965,116662,4854100,116662,2020-01-07
"2020-01-08",116667,117335,115693,116247,5910500,116247,2020-01-08
"2020-01-09",116248,116820,115411,115947,5953500,115947,2020-01-09
"2020-01-10",115948,116745,114952,115503,4783400,115503,2020-01-10
"2020-01-13",115503,117333,115503,117325,5685100,117325,2020-01-13
"2020-01-14",117325,117705,116610,117632,5361700,117632,2020-01-14
"2020-01-15",117632,117632,116188,116414,5569400,116414,2020-01-15
"2020-01-16",116415,117106,115961,116704,5422700,116704,2020-01-16
"2020-01-17",116710,118479,116710,118478,4947200,118478,2020-01-17
"2020-01-20",118478,118862,117928,118862,3843500,118862,2020-01-20
"2020-01-21",118861,118861,117026,117026,5085600,117026,2020-01-21
"2020-01-22",117035,118401,117035,118391,5765700,118391,2020-01-22
"2020-01-23",118391,119535,116906,119528,6572400,119528,2020-01-23
"2020-01-24",119528,119593,118108,118376,4778700,118376,2020-01-24
"2020-01-27",118347,118347,114376,114482,6097800,114482,2020-01-27
"2020-01-28",114482,116797,114475,116479,5229400,116479,2020-01-28
"2020-01-29",116494,117171,115164,115385,5097800,115385,2020-01-29
"2020-01-30",115375,115528,112825,115528,6315600,115528,2020-01-30
"2020-01-31",115518,115518,113148,113761,6219900,113761,2020-01-31
"2020-02-03",113761,115299,113467,114629,5512200,114629,2020-02-03
"2020-02-04",114631,116556,114631,115557,5829400,115557,2020-02-04
"2020-02-05",115563,117701,115562,116028,7173800,116028,2020-02-05
"2020-02-06",116033,117382,114723,115190,7382400,115190,2020-02-06
"2020-02-07",115190,115190,113769,113770,6594100,113770,2020-02-07
"2020-02-10",113771,114176,112134,112570,7486300,112570,2020-02-10
"2020-02-11",112574,115576,112574,115371,6767900,115371,2020-02-11
"2020-02-12",115371,117581,115371,116674,8159200,116674,2020-02-12
"2020-02-13",116660,116660,114801,115662,5635700,115662,2020-02-13
"2020-02-14",115663,115663,114132,114381,5335900,114381,2020-02-14
"2020-02-17",114381,115696,114381,115309,0,115309,2020-02-17
"2020-02-18",115309,115309,113532,114977,5548400,114977,2020-02-18
"2020-02-19",114982,116545,114774,116518,6334100,116518,2020-02-19
"2020-02-20",116518,116552,114379,114586,6793000,114586,2020-02-20
"2020-02-21",114585,114585,112661,113681,5896200,113681,2020-02-21
"2020-02-26",NA,NA,NA,NA,NA,NA,2020-02-26
"2020-02-27",105711,106656,102984,102984,11237700,102984,2020-02-27
"2020-02-28",102984,104172,99951,104172,11228400,104172,2020-02-28
"2020-03-02",104260,107220,103779,106625,8858400,106625,2020-03-02
"2020-03-03",106630,108804,104405,105537,9385600,105537,2020-03-03
"2020-03-04",105540,107809,105042,107224,8410500,107224,2020-03-04
"2020-03-05",107217,107217,100536,102233,8598600,102233,2020-03-05
"2020-03-06",102231,102231,96886,97997,11864200,97997,2020-03-06
"2020-03-09",97982,97982,85880,86067,14645500,86067,2020-03-09
"2020-03-10",86071,92230,86071,92214,13531700,92214,2020-03-10
"2020-03-11",92202,92202,80796,85171,11786900,85171,2020-03-11
"2020-03-12",85103,85103,68488,72583,12008700,72583,2020-03-12
"2020-03-13",72621,83758,72621,82678,15766300,82678,2020-03-13
"2020-03-16",82565,82565,70855,71168,12847800,71168,2020-03-16
"2020-03-17",71178,77255,70783,74617,14945900,74617,2020-03-17
"2020-03-18",74576,74576,63547,66895,16751500,66895,2020-03-18
"2020-03-19",66883,70071,61691,68332,16144700,68332,2020-03-19
"2020-03-20",68344,72247,66120,67069,15152400,67069,2020-03-20
"2020-03-23",67067,67604,62161,63570,11962200,63570,2020-03-23
"2020-03-24",63604,71535,63604,69729,11679900,69729,2020-03-24
"2020-03-25",69727,76714,69360,74956,12951100,74956,2020-03-25
"2020-03-26",74956,78846,74923,77710,12758000,77710,2020-03-26
"2020-03-27",77708,77708,73057,73429,10301400,73429,2020-03-27
"2020-03-30",73431,75430,73184,74640,9032200,74640,2020-03-30
"2020-03-31",74629,75511,72385,73020,11141500,73020,2020-03-31
"2020-04-01",73011,73011,69569,70967,10093500,70967,2020-04-01
"2020-04-02",70969,73861,70957,72253,10540200,72253,2020-04-02
"2020-04-03",72241,72241,67802,69538,10411300,69538,2020-04-03
"2020-04-06",69556,75260,69556,74073,9685400,74073,2020-04-06
"2020-04-07",74078,79855,74078,76358,11286500,76358,2020-04-07
"2020-04-08",76335,79058,76115,78625,10206300,78625,2020-04-08
"2020-04-09",78640,80428,77457,77682,10748700,77682,2020-04-09
"2020-04-13",77682,78836,76405,78836,7651300,78836,2020-04-13
"2020-04-14",78848,81668,78848,79918,8593600,79918,2020-04-14
"2020-04-15",79911,80035,77546,78831,9758400,78831,2020-04-15
"2020-04-16",78837,80167,77452,77812,9028400,77812,2020-04-16
"2020-04-17",77817,79846,77754,78990,8317800,78990,2020-04-17
